intersection,union-intersection,jaccard,n_intersections,name_1,name_2
76775015,76775015,1.0,402481,a1.E081,a1.E081
46537511,102522878,0.45392299999999997,288327,a2.E082,a1.E081
72285374,72285374,1.0,496694,a2.E082,a2.E082
32351673,190086842,0.170194,135006,a3.Noonan,a1.E081
31004210,186944664,0.165847,156436,a3.Noonan,a2.E082
145663500,145663500,1.0,75197,a3.Noonan,a3.Noonan
967641,111087182,0.00871065,9833,a4.E129,a1.E081
881101,106684081,0.00825897,10771,a4.E129,a2.E082
631693,180311615,0.00350334,3750,a4.E129,a3.Noonan
35279808,35279808,1.0,180296,a4.E129,a4.E129
13076384,89802426,0.14561300000000002,70849,a5.hNSC-50,a1.E081
12173483,86215686,0.141198,73363,a5.hNSC-50,a2.E082
15444654,156322641,0.0987999,57735,a5.hNSC-50,a3.Noonan
282591,61101012,0.00462498,2905,a5.hNSC-50,a4.E129
26103795,26103795,1.0,124826,a5.hNSC-50,a5.hNSC-50
7585903,81445711,0.0931406,44970,a6.hNSC-P5-1,a1.E081
7116673,77425300,0.0919166,45434,a6.hNSC-P5-1,a2.E082
8235448,149684651,0.055018700000000004,39768,a6.hNSC-P5-1,a3.Noonan
106105,47430302,0.00223707,1124,a6.hNSC-P5-1,a4.E129
11799121,26561273,0.444223,64721,a6.hNSC-P5-1,a5.hNSC-50
12256599,12256599,1.0,67160,a6.hNSC-P5-1,a6.hNSC-P5-1
7948624,82855829,0.0959332,49973,a7.hNSC-P5-2,a1.E081
7477597,78837215,0.0948486,50424,a7.hNSC-P5-2,a2.E082
8507862,151185076,0.0562745,43074,a7.hNSC-P5-2,a3.Noonan
148291,49160955,0.00301644,1767,a7.hNSC-P5-2,a4.E129
12811086,27322147,0.46889,75640,a7.hNSC-P5-2,a5.hNSC-50
8774602,17511435,0.501078,53339,a7.hNSC-P5-2,a6.hNSC-P5-1
14029438,14029438,1.0,86563,a7.hNSC-P5-2,a7.hNSC-P5-2
8275212,82771998,0.099976,50172,a8.hNSC-P15-1,a1.E081
7775524,78782045,0.0986966,50697,a8.hNSC-P15-1,a2.E082
8965554,150970141,0.0593863,43713,a8.hNSC-P15-1,a3.Noonan
122298,49429705,0.00247418,1413,a8.hNSC-P15-1,a4.E129
13092679,27283311,0.479879,74549,a8.hNSC-P15-1,a5.hNSC-50
8575092,17953702,0.47762299999999996,51255,a8.hNSC-P15-1,a6.hNSC-P5-1
8879567,19422066,0.45719,55309,a8.hNSC-P15-1,a7.hNSC-P5-2
14272195,14272195,1.0,84105,a8.hNSC-P15-1,a8.hNSC-P15-1
6350986,97492199,0.0651435,56048,b1.Chorion-DNase,a1.E081
5999128,93354416,0.0642619,56403,b1.Chorion-DNase,a2.E082
10228455,162503215,0.0629431,70170,b1.Chorion-DNase,a3.Noonan
189114,62158864,0.00304243,1994,b1.Chorion-DNase,a4.E129
4765948,48406017,0.0984578,38596,b1.Chorion-DNase,a5.hNSC-50
2980167,36344602,0.0819975,26024,b1.Chorion-DNase,a6.hNSC-P5-1
3087631,38009977,0.0812321,27657,b1.Chorion-DNase,a7.hNSC-P5-2
3397025,37943340,0.0895289,29888,b1.Chorion-DNase,a8.hNSC-P15-1
