,cell,composite,dataType,dataVersion,dateResubmitted,dateSubmitted,dateUnrestricted,dccAccession,geoSampleAccession,grant,lab,labExpId,labVersion,md5sum,objStatus,origAssembly,project,replicate,seqPlatform,size,subId,submittedDataVersion,tableName,treatment,type,view
0,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,NA,Stam,UW,DS14289,Bowtie 0.12.7,681eab6b39d87ae012ce9c77ac69e3b0,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,12G,6415,NA,NA,NA,bam,Alignments
1,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,NA,Stam,UW,DS14289,Bowtie 0.12.7,2c3989fd84b6bb47231b0ea9c748d835,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,7.1M,6415,NA,NA,NA,bai,Alignments
2,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,GSM1014517,Stam,UW,DS14289,Hotspot-v5.2,cc42c2a82db60358786bf4ac6fd00d60,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,4.0M,6415,NA,wgEncodeUwDgfA549Hotspots,NA,broadPeak,Hotspots
3,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,GSM1014517,Stam,UW,DS14289,lmax-v1.0,89aa9966f9acc9d87b73fea34e491dfd,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,2.7M,6415,NA,wgEncodeUwDgfA549Pk,NA,narrowPeak,Peaks
4,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,GSM1014517,Stam,UW,DS14289,WindowDensity-bin20-win+/-75,7a5ff37a9a6d50927e8f3cd176640b8a,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,331M,6415,NA,wgEncodeUwDgfA549Raw,NA,bigWig,RawSignal
5,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,GSM1014517,Stam,UW,DS14289,NA,2722fa60fa2a8313a4290f0409804b79,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,11G,6415,NA,NA,NA,fastq,RawData
6,A549,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2012-03-27,2012-12-27,wgEncodeEH003146,GSM1014517,Stam,UW,DS14289,NA,b84a7662f39f937bf31c11513a3b06a2,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,482M,6415,NA,wgEncodeUwDgfA549Sig,NA,bigWig,Signal
7,AG10803,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2011-09-27,2012-06-27,wgEncodeEH002441,NA,Stam,UW,DS12374,Bowtie 0.12.7,5b577bbefffc458f43f2c46bc71cf180,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,9.4G,4883,NA,NA,NA,bam,Alignments
8,AG10803,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2011-09-27,2012-06-27,wgEncodeEH002441,NA,Stam,UW,DS12374,Bowtie 0.12.7,7a05df809365a74f1d45a39d3d578c22,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,6.9M,4883,NA,NA,NA,bai,Alignments
9,AG10803,wgEncodeUwDgf,DnaseDgf,ENCODE Mar 2012 Freeze,NA,2011-09-27,2012-06-27,wgEncodeEH002441,GSM1014527,Stam,UW,DS12374,Hotspot-v5.2,7a3315fee10f8ebd9ed661a641fec950,NA,hg19,wgEncode,NA,Illumina_HiSeq_2000,3.5M,4883,NA,wgEncodeUwDgfAg10803Hotspots,NA,broadPeak,Hotspots
